date,ticker,prob_lgb,prob_lstm,final_prob,extra,vix
2026-09-04,NVDA,0.3942,0.501,0.4412,False,14.32
2026-09-04,AMD,0.4148,0.4935,0.4507,False,14.32
2026-09-04,AVGO,0.4268,0.5021,0.4614,False,14.32
2026-09-04,MU,0.4553,0.4976,0.4755,False,14.32
2026-09-04,ARM,0.4922,0.495,0.4936,False,14.32
2026-09-04,SMCI,0.4648,0.4964,0.4801,False,14.32
2026-09-04,MSFT,0.2993,0.4977,0.3738,False,14.32
2026-09-04,META,0.3741,0.5023,0.4288,False,14.32
2026-09-04,GOOGL,0.319,0.4963,0.3884,False,14.32
2026-09-04,AMZN,0.3095,0.4935,0.3804,False,14.32
2026-09-04,AAPL,0.1882,0.4998,0.2734,False,14.32
2026-09-04,TSLA,0.4767,0.4993,0.4878,False,14.32
2026-09-04,NFLX,0.3062,0.4965,0.3788,False,14.32
2026-09-04,PLTR,0.4749,0.4975,0.4859,False,14.32
2026-09-04,NOW,0.5027,0.5043,0.5035,False,14.32
2026-09-04,APP,0.4494,0.4978,0.4723,False,14.32
2026-09-04,ANET,0.4299,0.497,0.461,False,14.32
2026-09-04,CRM,0.4446,0.506,0.4734,False,14.32
2026-09-04,CRWD,0.4934,0.5081,0.5007,False,14.32
2026-09-04,PANW,0.5409,0.511,0.5255,False,14.32
2026-09-04,DDOG,0.5323,0.5029,0.5172,False,14.32
2026-09-04,NET,0.4837,0.4997,0.4916,False,14.32
2026-09-04,VST,0.4062,0.4994,0.448,False,14.32
2026-09-04,CEG,0.4336,0.5003,0.4645,False,14.32
2026-09-04,GEV,0.4449,0.4986,0.4703,False,14.32
2026-09-04,VRT,0.4474,0.4964,0.4706,False,14.32
2026-09-04,COIN,0.5619,0.4999,0.5291,False,14.32
2026-09-04,HOOD,0.5164,0.502,0.5091,False,14.32
2026-09-04,NU,0.466,0.5002,0.4825,False,14.32
2026-09-04,AFRM,0.4826,0.5017,0.492,False,14.32
2026-09-04,HIMS,0.53,0.4949,0.5119,False,14.32
2026-09-04,RKLB,0.524,0.4943,0.5087,False,14.32
2026-09-04,ASTS,0.5224,0.4946,0.5081,False,14.32
2026-09-04,IONQ,0.5316,0.4956,0.513,False,14.32
2026-09-04,OKLO,0.5158,0.4979,0.5067,False,14.32
2026-09-04,UBER,0.4365,0.4955,0.4641,False,14.32
2026-09-04,SPOT,0.4321,0.4976,0.4625,False,14.32
2026-09-04,DASH,0.4248,0.4943,0.4569,False,14.32
2026-09-04,RBLX,0.4947,0.5001,0.4974,False,14.32
2026-09-04,WDC,0.5093,0.5036,0.5064,False,14.32
2026-09-04,STX,0.5119,0.5025,0.5071,False,14.32
2026-09-04,SNOW,0.4782,0.5026,0.4901,True,14.32
2026-09-04,SOFI,0.4803,0.4936,0.4869,True,14.32
2026-09-04,RIVN,0.4098,0.4942,0.4481,True,14.32
2026-09-04,ABNB,0.3452,0.4992,0.4082,True,14.32
2026-09-04,SHOP,0.3995,0.4948,0.4421,True,14.32
2026-09-04,MSTR,0.5777,0.5031,0.5378,True,14.32
2026-09-04,QCOM,0.3869,0.4971,0.4351,True,14.32
2026-09-04,MDB,0.4873,0.5062,0.4966,True,14.32
2026-09-04,IREN,0.4819,0.4963,0.489,True,14.32
2026-09-04,TSM,0.3722,0.4927,0.4241,True,14.32
2026-09-04,MRVL,0.4821,0.4983,0.4901,True,14.32
2026-09-04,LITE,0.4857,0.4946,0.4901,True,14.32
